"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.393246400E-2,7.000000216E-3,3.999999911E-2,-5.820000172E-1,5.834149637E-1
7.048981000E-2,1.499999966E-2,4.500000179E-2,-5.690000057E-1,5.709737355E-1
7.542543700E-2,0.000000000E0,5.799999833E-2,-5.389999747E-1,5.421115868E-1
8.038248600E-2,0.000000000E0,5.799999833E-2,-5.389999747E-1,5.421115868E-1
8.532567900E-2,2.300000004E-2,8.100000024E-2,-5.590000153E-1,5.653061269E-1
9.027294800E-2,2.300000004E-2,8.100000024E-2,-5.590000153E-1,5.653061269E-1
9.522194600E-2,2.000000095E-3,8.699999750E-2,-5.299999714E-1,5.370967969E-1
1.001704250E-1,2.000000095E-3,8.699999750E-2,-5.299999714E-1,5.370967969E-1
1.051165870E-1,-1.300000027E-2,1.209999993E-1,-5.270000100E-1,5.408687552E-1
1.100634280E-1,-1.300000027E-2,1.209999993E-1,-5.270000100E-1,5.408687552E-1
1.150071200E-1,-8.000000380E-3,1.360000074E-1,-4.720000029E-1,4.912677526E-1
1.199517350E-1,-8.000000380E-3,1.360000074E-1,-4.720000029E-1,4.912677526E-1
1.249004500E-1,-1.000000047E-3,1.140000001E-1,-4.289999902E-1,4.438896165E-1
1.298479650E-1,-1.000000047E-3,1.140000001E-1,-4.289999902E-1,4.438896165E-1
1.347947770E-1,-4.999999888E-3,1.280000061E-1,-3.950000107E-1,4.152517430E-1
1.397418020E-1,-4.999999888E-3,1.280000061E-1,-3.950000107E-1,4.152517430E-1
1.446917710E-1,-8.000000380E-3,1.430000067E-1,-4.390000105E-1,4.617726834E-1
1.496408780E-1,-8.000000380E-3,1.430000067E-1,-4.390000105E-1,4.617726834E-1
1.545908640E-1,0.000000000E0,1.840000004E-1,-4.850000143E-1,5.187301938E-1
1.595405830E-1,0.000000000E0,1.840000004E-1,-4.850000143E-1,5.187301938E-1
1.644904970E-1,2.099999972E-2,2.489999980E-1,-5.220000148E-1,5.787279278E-1
1.694403540E-1,2.099999972E-2,2.489999980E-1,-5.220000148E-1,5.787279278E-1
1.743894560E-1,2.700000070E-2,2.450000048E-1,-5.270000100E-1,5.817929296E-1
1.793387630E-1,2.700000070E-2,2.450000048E-1,-5.270000100E-1,5.817929296E-1
1.842843760E-1,3.900000080E-2,3.149999976E-1,-5.939999819E-1,6.734849494E-1
1.892310710E-1,3.900000080E-2,3.149999976E-1,-5.939999819E-1,6.734849494E-1
1.941779140E-1,6.700000167E-2,3.779999912E-1,-5.759999752E-1,6.922058689E-1
1.991246690E-1,6.700000167E-2,3.779999912E-1,-5.759999752E-1,6.922058689E-1
2.040750460E-1,2.600000054E-2,3.720000088E-1,-5.049999952E-1,6.277618990E-1
2.090243630E-1,2.600000054E-2,3.720000088E-1,-5.049999952E-1,6.277618990E-1
2.139723460E-1,2.999999933E-2,3.269999921E-1,-5.360000134E-1,6.285896986E-1
2.189207010E-1,2.999999933E-2,3.269999921E-1,-5.360000134E-1,6.285896986E-1
2.238688200E-1,3.900000080E-2,3.260000050E-1,-5.440000296E-1,6.353999020E-1
2.288170090E-1,3.900000080E-2,3.260000050E-1,-5.440000296E-1,6.353999020E-1
2.337645330E-1,2.999999933E-2,3.630000055E-1,-6.420000196E-1,7.381280573E-1
2.387122160E-1,2.999999933E-2,3.630000055E-1,-6.420000196E-1,7.381280573E-1
2.436595480E-1,3.700000048E-2,3.459999859E-1,-6.759999990E-1,7.603032218E-1
2.486069850E-1,3.700000048E-2,3.459999859E-1,-6.759999990E-1,7.603032218E-1
2.535561460E-1,1.899999939E-2,3.379999995E-1,-6.320000291E-1,7.169581832E-1
2.585048130E-1,1.899999939E-2,3.379999995E-1,-6.320000291E-1,7.169581832E-1
2.634537350E-1,4.000000190E-3,3.009999990E-1,-6.069999933E-1,6.775440881E-1
2.684025840E-1,4.000000190E-3,3.009999990E-1,-6.069999933E-1,6.775440881E-1
2.733506080E-1,-2.400000021E-2,3.440000117E-1,-5.879999995E-1,6.816568106E-1
2.782988830E-1,-2.400000021E-2,3.440000117E-1,-5.879999995E-1,6.816568106E-1
2.832454380E-1,-9.999999776E-3,3.449999988E-1,-5.239999890E-1,6.274559647E-1
2.881924990E-1,-9.999999776E-3,3.449999988E-1,-5.239999890E-1,6.274559647E-1
2.931457340E-1,-7.000000030E-2,3.039999902E-1,-4.819999933E-1,5.741428286E-1
2.980971410E-1,-7.000000030E-2,3.039999902E-1,-4.819999933E-1,5.741428286E-1
3.030423940E-1,-6.899999827E-2,3.170000017E-1,-4.880000055E-1,5.859982988E-1
3.079894510E-1,-6.899999827E-2,3.170000017E-1,-4.880000055E-1,5.859982988E-1
3.129370940E-1,-1.080000028E-1,2.119999975E-1,-4.880000055E-1,5.429106786E-1
3.178845490E-1,-1.080000028E-1,2.119999975E-1,-4.880000055E-1,5.429106786E-1
3.228317420E-1,-7.699999958E-2,2.759999931E-1,-5.249999762E-1,5.981053177E-1
3.277790130E-1,-7.699999958E-2,2.759999931E-1,-5.249999762E-1,5.981053177E-1
3.327285140E-1,-5.499999970E-2,2.739999890E-1,-5.109999776E-1,5.824276531E-1
3.376773770E-1,-5.499999970E-2,2.739999890E-1,-5.109999776E-1,5.824276531E-1
3.426247340E-1,-4.699999839E-2,3.039999902E-1,-5.379999876E-1,6.197329913E-1
3.475725330E-1,-4.699999839E-2,3.039999902E-1,-5.379999876E-1,6.197329913E-1
3.525194490E-1,-2.800000086E-2,2.899999917E-1,-5.389999747E-1,6.127030014E-1
3.574666180E-1,-2.800000086E-2,2.899999917E-1,-5.389999747E-1,6.127030014E-1
3.624180490E-1,-3.400000185E-2,3.039999902E-1,-4.869999886E-1,5.751008460E-1
3.673682320E-1,-3.400000185E-2,3.039999902E-1,-4.869999886E-1,5.751008460E-1
3.723178320E-1,-3.700000048E-2,3.199999928E-1,-4.909999967E-1,5.872392972E-1
3.772676090E-1,-3.700000048E-2,3.199999928E-1,-4.909999967E-1,5.872392972E-1
3.822167460E-1,-4.999999888E-3,3.950000107E-1,-4.930000007E-1,6.317428347E-1
3.871660710E-1,-4.999999888E-3,3.950000107E-1,-4.930000007E-1,6.317428347E-1
3.921124840E-1,-2.600000054E-2,3.009999990E-1,-5.220000148E-1,6.031260357E-1
3.970597870E-1,-2.600000054E-2,3.009999990E-1,-5.220000148E-1,6.031260357E-1
4.020083110E-1,-3.799999878E-2,3.019999862E-1,-5.040000081E-1,5.887817930E-1
4.069564780E-1,-3.799999878E-2,3.019999862E-1,-5.040000081E-1,5.887817930E-1
4.119013540E-1,-2.400000021E-2,2.329999954E-1,-5.450000167E-1,5.932031828E-1
4.168471850E-1,-2.400000021E-2,2.329999954E-1,-5.450000167E-1,5.932031828E-1
4.217944750E-1,-3.900000080E-2,2.919999957E-1,-5.149999857E-1,5.933042919E-1
4.267413380E-1,-3.900000080E-2,2.919999957E-1,-5.149999857E-1,5.933042919E-1
4.316899220E-1,4.999999888E-3,3.249999881E-1,-5.230000019E-1,6.157751166E-1
4.366379830E-1,4.999999888E-3,3.249999881E-1,-5.230000019E-1,6.157751166E-1
4.415832690E-1,-1.400000043E-2,3.280000091E-1,-5.099999905E-1,6.065311173E-1
4.465293680E-1,-1.400000043E-2,3.280000091E-1,-5.099999905E-1,6.065311173E-1
4.514777330E-1,3.900000080E-2,3.849999905E-1,-5.220000148E-1,6.497922808E-1
4.564254380E-1,3.900000080E-2,3.849999905E-1,-5.220000148E-1,6.497922808E-1
4.613759480E-1,3.900000080E-2,3.849999905E-1,-5.220000148E-1,6.497922808E-1
4.663256510E-1,3.900000080E-2,3.849999905E-1,-5.220000148E-1,6.497922808E-1
