"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.071401000E-3,3.200000152E-2,-9.000000358E-2,-7.100000232E-2,1.190168100E-1
6.045346000E-2,1.250000000E-1,-1.599999964E-1,-1.829999983E-1,2.733386146E-1
6.539277000E-2,1.230000034E-1,-1.159999967E-1,-1.490000039E-1,2.253574965E-1
7.035231100E-2,1.230000034E-1,-1.159999967E-1,-1.490000039E-1,2.253574965E-1
7.529880800E-2,1.280000061E-1,-8.500000089E-2,3.200000152E-2,1.569490421E-1
8.024914900E-2,1.280000061E-1,-8.500000089E-2,3.200000152E-2,1.569490421E-1
8.519548500E-2,1.059999987E-1,-1.700000092E-2,7.000000030E-2,1.281600554E-1
9.014299400E-2,1.059999987E-1,-1.700000092E-2,7.000000030E-2,1.281600554E-1
9.508904200E-2,1.340000033E-1,2.700000070E-2,5.499999970E-2,1.473431400E-1
1.000355570E-1,1.340000033E-1,2.700000070E-2,5.499999970E-2,1.473431400E-1
1.049777280E-1,1.640000045E-1,5.099999905E-2,-1.519999951E-1,2.293490787E-1
1.099211730E-1,1.640000045E-1,5.099999905E-2,-1.519999951E-1,2.293490787E-1
1.148708530E-1,1.560000032E-1,8.200000226E-2,-2.709999979E-1,3.232661446E-1
1.198187080E-1,1.560000032E-1,8.200000226E-2,-2.709999979E-1,3.232661446E-1
1.247645250E-1,9.899999946E-2,1.260000020E-1,-3.989999890E-1,4.299744081E-1
1.297109400E-1,9.899999946E-2,1.260000020E-1,-3.989999890E-1,4.299744081E-1
1.346574340E-1,7.100000232E-2,1.379999965E-1,-4.420000017E-1,4.684538407E-1
1.396039190E-1,7.100000232E-2,1.379999965E-1,-4.420000017E-1,4.684538407E-1
1.445518190E-1,3.400000185E-2,1.909999996E-1,-4.799999893E-1,5.177228889E-1
1.494993040E-1,3.400000185E-2,1.909999996E-1,-4.799999893E-1,5.177228889E-1
1.544438130E-1,3.799999878E-2,1.580000073E-1,-4.990000129E-1,5.247942597E-1
1.593891760E-1,3.799999878E-2,1.580000073E-1,-4.990000129E-1,5.247942597E-1
1.643348780E-1,3.400000185E-2,8.900000155E-2,-4.760000110E-1,4.854410478E-1
1.692804810E-1,3.400000185E-2,8.900000155E-2,-4.760000110E-1,4.854410478E-1
1.742296630E-1,4.800000042E-2,1.049999967E-1,-4.790000021E-1,4.927169587E-1
1.791777940E-1,4.800000042E-2,1.049999967E-1,-4.790000021E-1,4.927169587E-1
1.841234290E-1,7.000000030E-2,1.230000034E-1,-4.560000002E-1,4.774568055E-1
1.890697960E-1,7.000000030E-2,1.230000034E-1,-4.560000002E-1,4.774568055E-1
1.940165640E-1,7.699999958E-2,1.819999963E-1,-4.009999931E-1,4.470503250E-1
1.989632310E-1,7.699999958E-2,1.819999963E-1,-4.009999931E-1,4.470503250E-1
2.039118210E-1,1.159999967E-1,1.990000010E-1,-3.889999986E-1,4.520818493E-1
2.088598800E-1,1.159999967E-1,1.990000010E-1,-3.889999986E-1,4.520818493E-1
2.138088620E-1,1.070000008E-1,1.739999950E-1,-3.869999945E-1,4.376002676E-1
2.187576050E-1,1.070000008E-1,1.739999950E-1,-3.869999945E-1,4.376002676E-1
