"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.154417100E-2,-2.060000002E-1,1.250000000E-1,-5.019999743E-1,5.568347818E-1
6.647827000E-2,-1.809999943E-1,1.190000027E-1,-5.009999871E-1,5.458232183E-1
7.143433700E-2,-1.809999943E-1,1.190000027E-1,-5.009999871E-1,5.458232183E-1
7.637808300E-2,-1.509999931E-1,1.749999970E-1,-5.099999905E-1,5.599339132E-1
8.132543800E-2,-1.509999931E-1,1.749999970E-1,-5.099999905E-1,5.599339132E-1
8.627553000E-2,-9.899999946E-2,1.620000005E-1,-5.410000086E-1,5.733463258E-1
9.122482100E-2,-9.899999946E-2,1.620000005E-1,-5.410000086E-1,5.733463258E-1
9.617205400E-2,-4.699999839E-2,1.679999977E-1,-5.690000057E-1,5.951420046E-1
1.011198950E-1,-4.699999839E-2,1.679999977E-1,-5.690000057E-1,5.951420046E-1
1.060661190E-1,6.000000052E-3,1.749999970E-1,-6.269999743E-1,6.509915258E-1
1.110128180E-1,6.000000052E-3,1.749999970E-1,-6.269999743E-1,6.509915258E-1
1.159614090E-1,-4.999999888E-3,1.979999989E-1,-6.520000100E-1,6.814198505E-1
1.209094400E-1,-4.999999888E-3,1.979999989E-1,-6.520000100E-1,6.814198505E-1
1.258559930E-1,2.899999917E-2,1.850000024E-1,-5.950000286E-1,6.237716208E-1
1.308029800E-1,2.899999917E-2,1.850000024E-1,-5.950000286E-1,6.237716208E-1
1.357510300E-1,6.400000304E-2,1.959999949E-1,-6.359999776E-1,6.685865463E-1
1.406987290E-1,6.400000304E-2,1.959999949E-1,-6.359999776E-1,6.685865463E-1
1.456459250E-1,9.899999946E-2,2.240000069E-1,-6.320000291E-1,6.777912951E-1
1.505932700E-1,9.899999946E-2,2.240000069E-1,-6.320000291E-1,6.777912951E-1
1.555408540E-1,7.000000030E-2,2.189999968E-1,-6.190000176E-1,6.603196351E-1
1.604883590E-1,7.000000030E-2,2.189999968E-1,-6.190000176E-1,6.603196351E-1
1.654373440E-1,6.400000304E-2,2.479999959E-1,-6.190000176E-1,6.698962757E-1
1.703858970E-1,6.400000304E-2,2.479999959E-1,-6.190000176E-1,6.698962757E-1
1.753354180E-1,7.000000030E-2,2.529999912E-1,-5.970000029E-1,6.521640890E-1
1.802846610E-1,7.000000030E-2,2.529999912E-1,-5.970000029E-1,6.521640890E-1
1.852333040E-1,7.100000232E-2,2.759999931E-1,-6.269999743E-1,6.887277867E-1
1.901821250E-1,7.100000232E-2,2.759999931E-1,-6.269999743E-1,6.887277867E-1
1.951289560E-1,6.199999899E-2,2.840000093E-1,-5.960000157E-1,6.631108685E-1
2.000763650E-1,6.199999899E-2,2.840000093E-1,-5.960000157E-1,6.631108685E-1
2.050230230E-1,5.999999866E-2,2.579999864E-1,-5.879999995E-1,6.449092900E-1
2.099699020E-1,5.999999866E-2,2.579999864E-1,-5.879999995E-1,6.449092900E-1
2.149217070E-1,7.000000216E-3,2.930000126E-1,-6.029999852E-1,6.704528243E-1
2.198720640E-1,7.000000216E-3,2.930000126E-1,-6.029999852E-1,6.704528243E-1
2.248205610E-1,-7.000000216E-3,3.199999928E-1,-6.069999933E-1,6.862200721E-1
2.297696040E-1,-7.000000216E-3,3.199999928E-1,-6.069999933E-1,6.862200721E-1
2.347200770E-1,-3.299999982E-2,2.739999890E-1,-6.639999747E-1,7.190695101E-1
2.396701360E-1,-3.299999982E-2,2.739999890E-1,-6.639999747E-1,7.190695101E-1
2.446159810E-1,-3.099999949E-2,2.720000148E-1,-6.909999847E-1,7.432536491E-1
2.495630600E-1,-3.099999949E-2,2.720000148E-1,-6.909999847E-1,7.432536491E-1
2.545076520E-1,-2.700000070E-2,2.290000021E-1,-6.840000153E-1,7.218213227E-1
2.594529450E-1,-2.700000070E-2,2.290000021E-1,-6.840000153E-1,7.218213227E-1
2.644019500E-1,-5.400000140E-2,1.969999969E-1,-6.600000262E-1,6.908871352E-1
2.693498670E-1,-5.400000140E-2,1.969999969E-1,-6.600000262E-1,6.908871352E-1
2.742974190E-1,-6.899999827E-2,1.879999936E-1,-6.340000033E-1,6.648766815E-1
2.792450560E-1,-6.899999827E-2,1.879999936E-1,-6.340000033E-1,6.648766815E-1
2.841936570E-1,-1.099999994E-1,1.609999985E-1,-6.460000277E-1,6.747866590E-1
2.891419760E-1,-1.099999994E-1,1.609999985E-1,-6.460000277E-1,6.747866590E-1
2.940892020E-1,-7.199999690E-2,1.469999999E-1,-6.110000014E-1,6.325456515E-1
2.990367490E-1,-7.199999690E-2,1.469999999E-1,-6.110000014E-1,6.325456515E-1
3.039860410E-1,-4.300000146E-2,1.369999945E-1,-6.190000176E-1,6.354360868E-1
3.089348240E-1,-4.300000146E-2,1.369999945E-1,-6.190000176E-1,6.354360868E-1
3.138843560E-1,-4.999999888E-3,1.940000057E-1,-6.529999971E-1,6.812268334E-1
3.188336690E-1,-4.999999888E-3,1.940000057E-1,-6.529999971E-1,6.812268334E-1
3.237792370E-1,-3.099999949E-2,1.650000066E-1,-6.150000095E-1,6.375037364E-1
3.287259020E-1,-3.099999949E-2,1.650000066E-1,-6.150000095E-1,6.375037364E-1
3.336723380E-1,-2.099999972E-2,1.959999949E-1,-5.970000029E-1,6.287018382E-1
3.386188350E-1,-2.099999972E-2,1.959999949E-1,-5.970000029E-1,6.287018382E-1
3.435634880E-1,-4.300000146E-2,2.310000062E-1,-5.820000172E-1,6.276416358E-1
3.485086810E-1,-4.300000146E-2,2.310000062E-1,-5.820000172E-1,6.276416358E-1
3.534551990E-1,-1.180000007E-1,2.179999948E-1,-5.820000172E-1,6.325915095E-1
3.584013460E-1,-1.180000007E-1,2.179999948E-1,-5.820000172E-1,6.325915095E-1
3.633469160E-1,-1.190000027E-1,2.280000001E-1,-5.469999909E-1,6.044451925E-1
3.682926570E-1,-1.190000027E-1,2.280000001E-1,-5.469999909E-1,6.044451925E-1
3.732399520E-1,-1.000000015E-1,1.519999951E-1,-5.699999928E-1,5.983343469E-1
3.781867990E-1,-1.000000015E-1,1.519999951E-1,-5.699999928E-1,5.983343469E-1
3.831332410E-1,-8.600000292E-2,1.640000045E-1,-5.730000138E-1,6.021802204E-1
3.880798020E-1,-8.600000292E-2,1.640000045E-1,-5.730000138E-1,6.021802204E-1
3.930269350E-1,-7.699999958E-2,1.260000020E-1,-6.069999933E-1,6.247031234E-1
3.979738900E-1,-7.699999958E-2,1.260000020E-1,-6.069999933E-1,6.247031234E-1
4.029217680E-1,-1.150000021E-1,1.459999979E-1,-6.250000000E-1,6.520475442E-1
4.078693650E-1,-1.150000021E-1,1.459999979E-1,-6.250000000E-1,6.520475442E-1
4.128170740E-1,-1.239999980E-1,1.759999990E-1,-6.449999809E-1,6.799830693E-1
4.177647510E-1,-1.239999980E-1,1.759999990E-1,-6.449999809E-1,6.799830693E-1
4.227079240E-1,-1.959999949E-1,1.870000064E-1,-6.209999919E-1,6.775145684E-1
4.276523970E-1,-1.959999949E-1,1.870000064E-1,-6.209999919E-1,6.775145684E-1
